test_case,count_200,avg_ms,p50_ms,p90_ms,p99_ms
fake1,100,13.86,7.11,27.69,30.14
fake2,100,13.99,14.88,27.09,30.36
real1,100,16.34,16.09,28.46,30.25
real2,100,15.30,15.40,28.06,30.59
