test_case,iteration,start_iso,end_iso,latency_ms,status_code,prediction,proba
real1,1,2025-10-27T02:41:43.431412+00:00,2025-10-27T02:41:43.455968+00:00,24.557,200,0,0.18994419766357853
real1,2,2025-10-27T02:41:43.456010+00:00,2025-10-27T02:41:43.461097+00:00,5.085,200,0,0.18994419766357853
real1,3,2025-10-27T02:41:43.461139+00:00,2025-10-27T02:41:43.487010+00:00,25.869,200,0,0.18994419766357853
real1,4,2025-10-27T02:41:43.487059+00:00,2025-10-27T02:41:43.502976+00:00,15.915,200,0,0.18994419766357853
real1,5,2025-10-27T02:41:43.503020+00:00,2025-10-27T02:41:43.532039+00:00,29.016,200,0,0.18994419766357853
real1,6,2025-10-27T02:41:43.532080+00:00,2025-10-27T02:41:43.538589+00:00,6.507,200,0,0.18994419766357853
real1,7,2025-10-27T02:41:43.538633+00:00,2025-10-27T02:41:43.559359+00:00,20.724,200,0,0.18994419766357853
real1,8,2025-10-27T02:41:43.559403+00:00,2025-10-27T02:41:43.585883+00:00,26.478,200,0,0.18994419766357853
real1,9,2025-10-27T02:41:43.585926+00:00,2025-10-27T02:41:43.591247+00:00,5.319,200,0,0.18994419766357853
real1,10,2025-10-27T02:41:43.591290+00:00,2025-10-27T02:41:43.596692+00:00,5.401,200,0,0.18994419766357853
real1,11,2025-10-27T02:41:43.596734+00:00,2025-10-27T02:41:43.602101+00:00,5.365,200,0,0.18994419766357853
real1,12,2025-10-27T02:41:43.602144+00:00,2025-10-27T02:41:43.607431+00:00,5.285,200,0,0.18994419766357853
real1,13,2025-10-27T02:41:43.607468+00:00,2025-10-27T02:41:43.629145+00:00,21.676,200,0,0.18994419766357853
real1,14,2025-10-27T02:41:43.629189+00:00,2025-10-27T02:41:43.644880+00:00,15.689,200,0,0.18994419766357853
real1,15,2025-10-27T02:41:43.644922+00:00,2025-10-27T02:41:43.659932+00:00,15.008,200,0,0.18994419766357853
real1,16,2025-10-27T02:41:43.659977+00:00,2025-10-27T02:41:43.676624+00:00,16.645,200,0,0.18994419766357853
real1,17,2025-10-27T02:41:43.676679+00:00,2025-10-27T02:41:43.682371+00:00,5.690,200,0,0.18994419766357853
real1,18,2025-10-27T02:41:43.682425+00:00,2025-10-27T02:41:43.705085+00:00,22.659,200,0,0.18994419766357853
real1,19,2025-10-27T02:41:43.705129+00:00,2025-10-27T02:41:43.721880+00:00,16.750,200,0,0.18994419766357853
real1,20,2025-10-27T02:41:43.721925+00:00,2025-10-27T02:41:43.727674+00:00,5.747,200,0,0.18994419766357853
real1,21,2025-10-27T02:41:43.727751+00:00,2025-10-27T02:41:43.750687+00:00,22.935,200,0,0.18994419766357853
real1,22,2025-10-27T02:41:43.750728+00:00,2025-10-27T02:41:43.779502+00:00,28.773,200,0,0.18994419766357853
real1,23,2025-10-27T02:41:43.779545+00:00,2025-10-27T02:41:43.794982+00:00,15.435,200,0,0.18994419766357853
real1,24,2025-10-27T02:41:43.795024+00:00,2025-10-27T02:41:43.810256+00:00,15.231,200,0,0.18994419766357853
real1,25,2025-10-27T02:41:43.810299+00:00,2025-10-27T02:41:43.815312+00:00,5.010,200,0,0.18994419766357853
real1,26,2025-10-27T02:41:43.815364+00:00,2025-10-27T02:41:43.842717+00:00,27.351,200,0,0.18994419766357853
real1,27,2025-10-27T02:41:43.842766+00:00,2025-10-27T02:41:43.848633+00:00,5.864,200,0,0.18994419766357853
real1,28,2025-10-27T02:41:43.848684+00:00,2025-10-27T02:41:43.876976+00:00,28.291,200,0,0.18994419766357853
real1,29,2025-10-27T02:41:43.877020+00:00,2025-10-27T02:41:43.892874+00:00,15.852,200,0,0.18994419766357853
real1,30,2025-10-27T02:41:43.892917+00:00,2025-10-27T02:41:43.898410+00:00,5.491,200,0,0.18994419766357853
real1,31,2025-10-27T02:41:43.898451+00:00,2025-10-27T02:41:43.924570+00:00,26.117,200,0,0.18994419766357853
real1,32,2025-10-27T02:41:43.924613+00:00,2025-10-27T02:41:43.930127+00:00,5.512,200,0,0.18994419766357853
real1,33,2025-10-27T02:41:43.930180+00:00,2025-10-27T02:41:43.951520+00:00,21.339,200,0,0.18994419766357853
real1,34,2025-10-27T02:41:43.951561+00:00,2025-10-27T02:41:43.967248+00:00,15.686,200,0,0.18994419766357853
real1,35,2025-10-27T02:41:43.967287+00:00,2025-10-27T02:41:43.996089+00:00,28.801,200,0,0.18994419766357853
real1,36,2025-10-27T02:41:43.996130+00:00,2025-10-27T02:41:44.024013+00:00,27.881,200,0,0.18994419766357853
real1,37,2025-10-27T02:41:44.024052+00:00,2025-10-27T02:41:44.053727+00:00,29.673,200,0,0.18994419766357853
real1,38,2025-10-27T02:41:44.053764+00:00,2025-10-27T02:41:44.082806+00:00,29.040,200,0,0.18994419766357853
real1,39,2025-10-27T02:41:44.082843+00:00,2025-10-27T02:41:44.087954+00:00,5.109,200,0,0.18994419766357853
real1,40,2025-10-27T02:41:44.088006+00:00,2025-10-27T02:41:44.118258+00:00,30.250,200,0,0.18994419766357853
real1,41,2025-10-27T02:41:44.118308+00:00,2025-10-27T02:41:44.123635+00:00,5.326,200,0,0.18994419766357853
real1,42,2025-10-27T02:41:44.123675+00:00,2025-10-27T02:41:44.128890+00:00,5.213,200,0,0.18994419766357853
real1,43,2025-10-27T02:41:44.128930+00:00,2025-10-27T02:41:44.147404+00:00,18.472,200,0,0.18994419766357853
real1,44,2025-10-27T02:41:44.147442+00:00,2025-10-27T02:41:44.163265+00:00,15.821,200,0,0.18994419766357853
real1,45,2025-10-27T02:41:44.163303+00:00,2025-10-27T02:41:44.178933+00:00,15.630,200,0,0.18994419766357853
real1,46,2025-10-27T02:41:44.178975+00:00,2025-10-27T02:41:44.195066+00:00,16.090,200,0,0.18994419766357853
