test_case,iteration,start_iso,end_iso,latency_ms,status_code,prediction,proba
real2,1,2025-11-07T21:38:07.588702+00:00,2025-11-07T21:38:07.643411+00:00,54.710,400,,
real2,2,2025-11-07T21:38:07.643447+00:00,2025-11-07T21:38:07.700780+00:00,57.318,400,,
real2,3,2025-11-07T21:38:07.700953+00:00,2025-11-07T21:38:07.755149+00:00,54.195,400,,
real2,4,2025-11-07T21:38:07.755193+00:00,2025-11-07T21:38:07.818898+00:00,63.702,400,,
real2,5,2025-11-07T21:38:07.818956+00:00,2025-11-07T21:38:07.871783+00:00,52.825,400,,
real2,6,2025-11-07T21:38:07.871826+00:00,2025-11-07T21:38:07.935596+00:00,63.767,400,,
real2,7,2025-11-07T21:38:07.935650+00:00,2025-11-07T21:38:07.988634+00:00,52.980,400,,
real2,8,2025-11-07T21:38:07.988718+00:00,2025-11-07T21:38:08.043373+00:00,54.653,400,,
real2,9,2025-11-07T21:38:08.043412+00:00,2025-11-07T21:38:08.095339+00:00,51.924,400,,
real2,10,2025-11-07T21:38:08.095383+00:00,2025-11-07T21:38:08.143698+00:00,48.313,400,,
real2,11,2025-11-07T21:38:08.143744+00:00,2025-11-07T21:38:08.195471+00:00,51.725,400,,
real2,12,2025-11-07T21:38:08.195509+00:00,2025-11-07T21:38:08.263521+00:00,68.009,400,,
real2,13,2025-11-07T21:38:08.263578+00:00,2025-11-07T21:38:08.318674+00:00,55.094,400,,
real2,14,2025-11-07T21:38:08.318740+00:00,2025-11-07T21:38:08.393131+00:00,74.388,400,,
real2,15,2025-11-07T21:38:08.393187+00:00,2025-11-07T21:38:08.452646+00:00,59.457,400,,
real2,16,2025-11-07T21:38:08.452686+00:00,2025-11-07T21:38:08.511793+00:00,59.106,400,,
real2,17,2025-11-07T21:38:08.511831+00:00,2025-11-07T21:38:08.563475+00:00,51.642,400,,
real2,18,2025-11-07T21:38:08.563512+00:00,2025-11-07T21:38:08.630634+00:00,67.120,400,,
real2,19,2025-11-07T21:38:08.630670+00:00,2025-11-07T21:38:08.691721+00:00,61.048,400,,
real2,20,2025-11-07T21:38:08.691778+00:00,2025-11-07T21:38:08.747375+00:00,55.595,400,,
real2,21,2025-11-07T21:38:08.747426+00:00,2025-11-07T21:38:08.825847+00:00,78.419,400,,
real2,22,2025-11-07T21:38:08.825886+00:00,2025-11-07T21:38:08.879562+00:00,53.675,400,,
real2,23,2025-11-07T21:38:08.879607+00:00,2025-11-07T21:38:08.928280+00:00,48.671,400,,
real2,24,2025-11-07T21:38:08.928321+00:00,2025-11-07T21:38:08.983266+00:00,54.944,400,,
real2,25,2025-11-07T21:38:08.983305+00:00,2025-11-07T21:38:09.033869+00:00,50.563,400,,
real2,26,2025-11-07T21:38:09.033905+00:00,2025-11-07T21:38:09.083460+00:00,49.552,400,,
real2,27,2025-11-07T21:38:09.083496+00:00,2025-11-07T21:38:09.151511+00:00,68.013,400,,
real2,28,2025-11-07T21:38:09.151546+00:00,2025-11-07T21:38:09.223478+00:00,71.931,400,,
real2,29,2025-11-07T21:38:09.223513+00:00,2025-11-07T21:38:09.271553+00:00,48.039,400,,
real2,30,2025-11-07T21:38:09.271590+00:00,2025-11-07T21:38:09.347462+00:00,75.871,400,,
real2,31,2025-11-07T21:38:09.347501+00:00,2025-11-07T21:38:09.403698+00:00,56.196,400,,
real2,32,2025-11-07T21:38:09.403736+00:00,2025-11-07T21:38:09.455608+00:00,51.870,400,,
real2,33,2025-11-07T21:38:09.455648+00:00,2025-11-07T21:38:09.511439+00:00,55.789,400,,
real2,34,2025-11-07T21:38:09.511472+00:00,2025-11-07T21:38:09.559586+00:00,48.113,400,,
real2,35,2025-11-07T21:38:09.559623+00:00,2025-11-07T21:38:09.623739+00:00,64.115,400,,
real2,36,2025-11-07T21:38:09.623773+00:00,2025-11-07T21:38:09.696891+00:00,73.116,400,,
real2,37,2025-11-07T21:38:09.696929+00:00,2025-11-07T21:38:09.763833+00:00,66.902,400,,
real2,38,2025-11-07T21:38:09.763883+00:00,2025-11-07T21:38:09.847661+00:00,83.776,400,,
real2,39,2025-11-07T21:38:09.847701+00:00,2025-11-07T21:38:09.916020+00:00,68.318,400,,
real2,40,2025-11-07T21:38:09.916059+00:00,2025-11-07T21:38:09.988460+00:00,72.399,400,,
real2,41,2025-11-07T21:38:09.988498+00:00,2025-11-07T21:38:10.058351+00:00,69.851,400,,
real2,42,2025-11-07T21:38:10.058388+00:00,2025-11-07T21:38:10.128025+00:00,69.635,400,,
real2,43,2025-11-07T21:38:10.128062+00:00,2025-11-07T21:38:10.176161+00:00,48.097,400,,
real2,44,2025-11-07T21:38:10.176200+00:00,2025-11-07T21:38:10.228060+00:00,51.858,400,,
real2,45,2025-11-07T21:38:10.228098+00:00,2025-11-07T21:38:10.296218+00:00,68.118,400,,
real2,46,2025-11-07T21:38:10.296255+00:00,2025-11-07T21:38:10.372178+00:00,75.922,400,,
real2,47,2025-11-07T21:38:10.372213+00:00,2025-11-07T21:38:10.424935+00:00,52.719,400,,
real2,48,2025-11-07T21:38:10.424990+00:00,2025-11-07T21:38:10.480106+00:00,55.115,400,,
real2,49,2025-11-07T21:38:10.480140+00:00,2025-11-07T21:38:10.532098+00:00,51.956,400,,
real2,50,2025-11-07T21:38:10.532136+00:00,2025-11-07T21:38:10.584000+00:00,51.862,400,,
real2,51,2025-11-07T21:38:10.584037+00:00,2025-11-07T21:38:10.880018+00:00,295.978,400,,
real2,52,2025-11-07T21:38:10.880060+00:00,2025-11-07T21:38:10.932460+00:00,52.397,400,,
real2,53,2025-11-07T21:38:10.932514+00:00,2025-11-07T21:38:10.996180+00:00,63.664,400,,
real2,54,2025-11-07T21:38:10.996216+00:00,2025-11-07T21:38:11.048158+00:00,51.939,400,,
real2,55,2025-11-07T21:38:11.048201+00:00,2025-11-07T21:38:11.100012+00:00,51.810,400,,
real2,56,2025-11-07T21:38:11.100051+00:00,2025-11-07T21:38:11.175687+00:00,75.634,400,,
real2,57,2025-11-07T21:38:11.175727+00:00,2025-11-07T21:38:11.248026+00:00,72.297,400,,
real2,58,2025-11-07T21:38:11.248067+00:00,2025-11-07T21:38:11.296186+00:00,48.117,400,,
real2,59,2025-11-07T21:38:11.296226+00:00,2025-11-07T21:38:11.375805+00:00,79.578,400,,
real2,60,2025-11-07T21:38:11.375845+00:00,2025-11-07T21:38:11.428146+00:00,52.299,400,,
real2,61,2025-11-07T21:38:11.428182+00:00,2025-11-07T21:38:11.480689+00:00,52.505,400,,
real2,62,2025-11-07T21:38:11.480729+00:00,2025-11-07T21:38:11.536444+00:00,55.713,400,,
real2,63,2025-11-07T21:38:11.536484+00:00,2025-11-07T21:38:11.604347+00:00,67.861,400,,
real2,64,2025-11-07T21:38:11.604386+00:00,2025-11-07T21:38:11.675866+00:00,71.478,400,,
real2,65,2025-11-07T21:38:11.675905+00:00,2025-11-07T21:38:11.740892+00:00,64.986,400,,
real2,66,2025-11-07T21:38:11.740930+00:00,2025-11-07T21:38:11.795839+00:00,54.908,400,,
real2,67,2025-11-07T21:38:11.795880+00:00,2025-11-07T21:38:11.852685+00:00,56.803,400,,
real2,68,2025-11-07T21:38:11.852723+00:00,2025-11-07T21:38:11.915862+00:00,63.136,400,,
real2,69,2025-11-07T21:38:11.915905+00:00,2025-11-07T21:38:12.008518+00:00,92.611,400,,
real2,70,2025-11-07T21:38:12.008556+00:00,2025-11-07T21:38:12.064436+00:00,55.879,400,,
