test_case,iteration,start_iso,end_iso,latency_ms,status_code,prediction,proba
real1,60,2025-11-07T21:38:05.092204+00:00,2025-11-07T21:38:05.159499+00:00,67.293,400,,
real1,61,2025-11-07T21:38:05.159540+00:00,2025-11-07T21:38:05.223930+00:00,64.388,400,,
real1,62,2025-11-07T21:38:05.223968+00:00,2025-11-07T21:38:05.296023+00:00,72.053,400,,
real1,63,2025-11-07T21:38:05.296063+00:00,2025-11-07T21:38:05.367374+00:00,71.309,400,,
real1,64,2025-11-07T21:38:05.367412+00:00,2025-11-07T21:38:05.419360+00:00,51.947,400,,
real1,65,2025-11-07T21:38:05.419397+00:00,2025-11-07T21:38:05.495512+00:00,76.114,400,,
real1,66,2025-11-07T21:38:05.495546+00:00,2025-11-07T21:38:05.553280+00:00,57.731,400,,
real1,67,2025-11-07T21:38:05.553317+00:00,2025-11-07T21:38:05.615108+00:00,61.788,400,,
real1,68,2025-11-07T21:38:05.615154+00:00,2025-11-07T21:38:05.683402+00:00,68.247,400,,
real1,69,2025-11-07T21:38:05.683440+00:00,2025-11-07T21:38:05.743028+00:00,59.586,400,,
real1,70,2025-11-07T21:38:05.743068+00:00,2025-11-07T21:38:05.795780+00:00,52.710,400,,
real1,71,2025-11-07T21:38:05.795816+00:00,2025-11-07T21:38:05.847243+00:00,51.425,400,,
real1,72,2025-11-07T21:38:05.847281+00:00,2025-11-07T21:38:05.916305+00:00,69.021,400,,
real1,73,2025-11-07T21:38:05.916349+00:00,2025-11-07T21:38:05.983070+00:00,66.719,400,,
real1,74,2025-11-07T21:38:05.983113+00:00,2025-11-07T21:38:06.055834+00:00,72.720,400,,
real1,75,2025-11-07T21:38:06.055873+00:00,2025-11-07T21:38:06.139348+00:00,83.474,400,,
real1,76,2025-11-07T21:38:06.139388+00:00,2025-11-07T21:38:06.187603+00:00,48.213,400,,
real1,77,2025-11-07T21:38:06.187644+00:00,2025-11-07T21:38:06.255654+00:00,68.009,400,,
real1,78,2025-11-07T21:38:06.255693+00:00,2025-11-07T21:38:06.311684+00:00,55.988,400,,
real1,79,2025-11-07T21:38:06.311725+00:00,2025-11-07T21:38:06.383465+00:00,71.738,400,,
real1,80,2025-11-07T21:38:06.383503+00:00,2025-11-07T21:38:06.460635+00:00,77.129,400,,
real1,81,2025-11-07T21:38:06.460690+00:00,2025-11-07T21:38:06.515216+00:00,54.525,400,,
real1,82,2025-11-07T21:38:06.515264+00:00,2025-11-07T21:38:06.567704+00:00,52.437,400,,
real1,83,2025-11-07T21:38:06.567763+00:00,2025-11-07T21:38:06.620697+00:00,52.933,400,,
real1,84,2025-11-07T21:38:06.620737+00:00,2025-11-07T21:38:06.671565+00:00,50.826,400,,
real1,85,2025-11-07T21:38:06.671614+00:00,2025-11-07T21:38:06.732516+00:00,60.899,400,,
real1,86,2025-11-07T21:38:06.732599+00:00,2025-11-07T21:38:06.787491+00:00,54.889,400,,
real1,87,2025-11-07T21:38:06.787531+00:00,2025-11-07T21:38:06.839182+00:00,51.649,400,,
real1,88,2025-11-07T21:38:06.839219+00:00,2025-11-07T21:38:06.888193+00:00,48.972,400,,
real1,89,2025-11-07T21:38:06.888233+00:00,2025-11-07T21:38:06.942710+00:00,54.475,400,,
real1,90,2025-11-07T21:38:06.942749+00:00,2025-11-07T21:38:07.004059+00:00,61.307,400,,
real1,91,2025-11-07T21:38:07.004117+00:00,2025-11-07T21:38:07.055585+00:00,51.466,400,,
real1,92,2025-11-07T21:38:07.055630+00:00,2025-11-07T21:38:07.109370+00:00,53.711,400,,
real1,93,2025-11-07T21:38:07.110669+00:00,2025-11-07T21:38:07.164022+00:00,53.352,400,,
real1,94,2025-11-07T21:38:07.164077+00:00,2025-11-07T21:38:07.222636+00:00,58.557,400,,
real1,95,2025-11-07T21:38:07.222696+00:00,2025-11-07T21:38:07.323112+00:00,100.415,400,,
real1,96,2025-11-07T21:38:07.323149+00:00,2025-11-07T21:38:07.375219+00:00,52.069,400,,
real1,97,2025-11-07T21:38:07.375259+00:00,2025-11-07T21:38:07.428600+00:00,53.338,400,,
real1,98,2025-11-07T21:38:07.428654+00:00,2025-11-07T21:38:07.487117+00:00,58.462,400,,
real1,99,2025-11-07T21:38:07.487154+00:00,2025-11-07T21:38:07.535621+00:00,48.464,400,,
real1,100,2025-11-07T21:38:07.535679+00:00,2025-11-07T21:38:07.587518+00:00,51.837,400,,
