test_case,iteration,start_iso,end_iso,latency_ms,status_code,prediction,proba
fake2,1,2025-11-07T21:37:54.159715+00:00,2025-11-07T21:37:54.210874+00:00,51.159,400,,
fake2,2,2025-11-07T21:37:54.210910+00:00,2025-11-07T21:37:54.274988+00:00,64.077,400,,
fake2,3,2025-11-07T21:37:54.275027+00:00,2025-11-07T21:37:54.347406+00:00,72.378,400,,
fake2,4,2025-11-07T21:37:54.347444+00:00,2025-11-07T21:37:54.398192+00:00,50.746,400,,
fake2,5,2025-11-07T21:37:54.398240+00:00,2025-11-07T21:37:54.462421+00:00,64.179,400,,
fake2,6,2025-11-07T21:37:54.462483+00:00,2025-11-07T21:37:54.526740+00:00,64.256,400,,
fake2,7,2025-11-07T21:37:54.526778+00:00,2025-11-07T21:37:54.578015+00:00,51.235,400,,
fake2,8,2025-11-07T21:37:54.578052+00:00,2025-11-07T21:37:54.646262+00:00,68.209,400,,
fake2,9,2025-11-07T21:37:54.646301+00:00,2025-11-07T21:37:54.698218+00:00,51.915,400,,
fake2,10,2025-11-07T21:37:54.698253+00:00,2025-11-07T21:37:54.753974+00:00,55.719,400,,
fake2,11,2025-11-07T21:37:54.754010+00:00,2025-11-07T21:37:54.802226+00:00,48.215,400,,
fake2,12,2025-11-07T21:37:54.802261+00:00,2025-11-07T21:37:54.874267+00:00,72.005,400,,
fake2,13,2025-11-07T21:37:54.874304+00:00,2025-11-07T21:37:54.950268+00:00,75.962,400,,
fake2,14,2025-11-07T21:37:54.950305+00:00,2025-11-07T21:37:55.021914+00:00,71.607,400,,
fake2,15,2025-11-07T21:37:55.021953+00:00,2025-11-07T21:37:55.091036+00:00,69.082,400,,
fake2,16,2025-11-07T21:37:55.091076+00:00,2025-11-07T21:37:55.150956+00:00,59.878,400,,
fake2,17,2025-11-07T21:37:55.150994+00:00,2025-11-07T21:37:55.218310+00:00,67.314,400,,
fake2,18,2025-11-07T21:37:55.218348+00:00,2025-11-07T21:37:55.273670+00:00,55.320,400,,
fake2,19,2025-11-07T21:37:55.273709+00:00,2025-11-07T21:37:55.330658+00:00,56.947,400,,
fake2,20,2025-11-07T21:37:55.330693+00:00,2025-11-07T21:37:55.386458+00:00,55.763,400,,
fake2,21,2025-11-07T21:37:55.386496+00:00,2025-11-07T21:37:55.438179+00:00,51.681,400,,
fake2,22,2025-11-07T21:37:55.438219+00:00,2025-11-07T21:37:55.506368+00:00,68.147,400,,
fake2,23,2025-11-07T21:37:55.506410+00:00,2025-11-07T21:37:55.578357+00:00,71.946,400,,
fake2,24,2025-11-07T21:37:55.578395+00:00,2025-11-07T21:37:55.654351+00:00,75.954,400,,
fake2,25,2025-11-07T21:37:55.654388+00:00,2025-11-07T21:37:55.723370+00:00,68.980,400,,
fake2,26,2025-11-07T21:37:55.723412+00:00,2025-11-07T21:37:55.786696+00:00,63.281,400,,
fake2,27,2025-11-07T21:37:55.786740+00:00,2025-11-07T21:37:55.869664+00:00,82.922,400,,
fake2,28,2025-11-07T21:37:55.869702+00:00,2025-11-07T21:37:55.941173+00:00,71.469,400,,
fake2,29,2025-11-07T21:37:55.941219+00:00,2025-11-07T21:37:56.014257+00:00,73.037,400,,
fake2,30,2025-11-07T21:37:56.014296+00:00,2025-11-07T21:37:56.119143+00:00,104.846,400,,
fake2,31,2025-11-07T21:37:56.119180+00:00,2025-11-07T21:37:56.190387+00:00,71.205,400,,
fake2,32,2025-11-07T21:37:56.190429+00:00,2025-11-07T21:37:56.242539+00:00,52.108,400,,
fake2,33,2025-11-07T21:37:56.242575+00:00,2025-11-07T21:37:56.307183+00:00,64.606,400,,
fake2,34,2025-11-07T21:37:56.307221+00:00,2025-11-07T21:37:56.381979+00:00,74.755,400,,
fake2,35,2025-11-07T21:37:56.382020+00:00,2025-11-07T21:37:56.455120+00:00,73.098,400,,
fake2,36,2025-11-07T21:37:56.455158+00:00,2025-11-07T21:37:56.514555+00:00,59.395,400,,
fake2,37,2025-11-07T21:37:56.514599+00:00,2025-11-07T21:37:56.587169+00:00,72.567,400,,
fake2,38,2025-11-07T21:37:56.587208+00:00,2025-11-07T21:37:56.651222+00:00,64.012,400,,
fake2,39,2025-11-07T21:37:56.651260+00:00,2025-11-07T21:37:56.703204+00:00,51.943,400,,
fake2,40,2025-11-07T21:37:56.703245+00:00,2025-11-07T21:37:56.770451+00:00,67.204,400,,
fake2,41,2025-11-07T21:37:56.770489+00:00,2025-11-07T21:37:56.830574+00:00,60.084,400,,
fake2,42,2025-11-07T21:37:56.830613+00:00,2025-11-07T21:37:56.893832+00:00,63.217,400,,
fake2,43,2025-11-07T21:37:56.893870+00:00,2025-11-07T21:37:56.962588+00:00,68.716,400,,
fake2,44,2025-11-07T21:37:56.962628+00:00,2025-11-07T21:37:57.038733+00:00,76.103,400,,
fake2,45,2025-11-07T21:37:57.038770+00:00,2025-11-07T21:37:57.091277+00:00,52.504,400,,
fake2,46,2025-11-07T21:37:57.091320+00:00,2025-11-07T21:37:57.143006+00:00,51.684,400,,
fake2,47,2025-11-07T21:37:57.143045+00:00,2025-11-07T21:37:57.207100+00:00,64.052,400,,
fake2,48,2025-11-07T21:37:57.207141+00:00,2025-11-07T21:37:57.262772+00:00,55.628,400,,
fake2,49,2025-11-07T21:37:57.262811+00:00,2025-11-07T21:37:57.319332+00:00,56.520,400,,
fake2,50,2025-11-07T21:37:57.319369+00:00,2025-11-07T21:37:57.389966+00:00,70.595,400,,
