test_case,iteration,start_iso,end_iso,latency_ms,status_code,label
fake2,1,2025-11-07T21:45:37.019019+00:00,2025-11-07T21:45:37.046280+00:00,27.261,200,FAKE
fake2,2,2025-11-07T21:45:37.046332+00:00,2025-11-07T21:45:37.073977+00:00,27.644,200,FAKE
fake2,3,2025-11-07T21:45:37.074012+00:00,2025-11-07T21:45:37.101889+00:00,27.875,200,FAKE
fake2,4,2025-11-07T21:45:37.101922+00:00,2025-11-07T21:45:37.129315+00:00,27.391,200,FAKE
fake2,5,2025-11-07T21:45:37.129349+00:00,2025-11-07T21:45:37.157842+00:00,28.487,200,FAKE
fake2,6,2025-11-07T21:45:37.157929+00:00,2025-11-07T21:45:37.185400+00:00,27.471,200,FAKE
fake2,7,2025-11-07T21:45:37.185432+00:00,2025-11-07T21:45:37.213272+00:00,27.839,200,FAKE
fake2,8,2025-11-07T21:45:37.213304+00:00,2025-11-07T21:45:37.241243+00:00,27.937,200,FAKE
fake2,9,2025-11-07T21:45:37.241275+00:00,2025-11-07T21:45:37.269432+00:00,28.156,200,FAKE
fake2,10,2025-11-07T21:45:37.269469+00:00,2025-11-07T21:45:37.297047+00:00,27.576,200,FAKE
fake2,11,2025-11-07T21:45:37.297079+00:00,2025-11-07T21:45:37.325563+00:00,28.482,200,FAKE
fake2,12,2025-11-07T21:45:37.325598+00:00,2025-11-07T21:45:37.353682+00:00,28.082,200,FAKE
fake2,13,2025-11-07T21:45:37.353713+00:00,2025-11-07T21:45:37.381709+00:00,27.994,200,FAKE
fake2,14,2025-11-07T21:45:37.381744+00:00,2025-11-07T21:45:37.409502+00:00,27.756,200,FAKE
fake2,15,2025-11-07T21:45:37.409542+00:00,2025-11-07T21:45:37.437382+00:00,27.838,200,FAKE
fake2,16,2025-11-07T21:45:37.437415+00:00,2025-11-07T21:45:37.465426+00:00,28.010,200,FAKE
fake2,17,2025-11-07T21:45:37.465461+00:00,2025-11-07T21:45:37.493038+00:00,27.576,200,FAKE
fake2,18,2025-11-07T21:45:37.493073+00:00,2025-11-07T21:45:37.539242+00:00,46.167,200,FAKE
fake2,19,2025-11-07T21:45:37.539276+00:00,2025-11-07T21:45:37.565830+00:00,26.552,200,FAKE
fake2,20,2025-11-07T21:45:37.565878+00:00,2025-11-07T21:45:37.593215+00:00,27.336,200,FAKE
fake2,21,2025-11-07T21:45:37.593249+00:00,2025-11-07T21:45:37.621110+00:00,27.861,200,FAKE
fake2,22,2025-11-07T21:45:37.621142+00:00,2025-11-07T21:45:37.649278+00:00,28.135,200,FAKE
