test_case,iteration,start_iso,end_iso,latency_ms,status_code,label
real2,1,2025-11-07T21:45:43.058916+00:00,2025-11-07T21:45:43.087367+00:00,28.451,200,REAL
real2,2,2025-11-07T21:45:43.087399+00:00,2025-11-07T21:45:43.114047+00:00,26.646,200,REAL
real2,3,2025-11-07T21:45:43.114079+00:00,2025-11-07T21:45:43.142119+00:00,28.038,200,REAL
real2,4,2025-11-07T21:45:43.142150+00:00,2025-11-07T21:45:43.178493+00:00,36.342,200,REAL
real2,5,2025-11-07T21:45:43.178526+00:00,2025-11-07T21:45:43.206333+00:00,27.806,200,REAL
real2,6,2025-11-07T21:45:43.206368+00:00,2025-11-07T21:45:43.233819+00:00,27.450,200,REAL
real2,7,2025-11-07T21:45:43.233851+00:00,2025-11-07T21:45:43.261598+00:00,27.745,200,REAL
real2,8,2025-11-07T21:45:43.261631+00:00,2025-11-07T21:45:43.289669+00:00,28.037,200,REAL
real2,9,2025-11-07T21:45:43.289702+00:00,2025-11-07T21:45:43.317803+00:00,28.100,200,REAL
real2,10,2025-11-07T21:45:43.317835+00:00,2025-11-07T21:45:43.345993+00:00,28.156,200,REAL
real2,11,2025-11-07T21:45:43.346030+00:00,2025-11-07T21:45:43.374108+00:00,28.077,200,REAL
real2,12,2025-11-07T21:45:43.374142+00:00,2025-11-07T21:45:43.402818+00:00,28.673,200,REAL
real2,13,2025-11-07T21:45:43.402850+00:00,2025-11-07T21:45:43.429892+00:00,27.041,200,REAL
real2,14,2025-11-07T21:45:43.429926+00:00,2025-11-07T21:45:43.457728+00:00,27.800,200,REAL
real2,15,2025-11-07T21:45:43.457762+00:00,2025-11-07T21:45:43.486069+00:00,28.305,200,REAL
real2,16,2025-11-07T21:45:43.486102+00:00,2025-11-07T21:45:43.513752+00:00,27.648,200,REAL
real2,17,2025-11-07T21:45:43.513798+00:00,2025-11-07T21:45:43.541873+00:00,28.075,200,REAL
real2,18,2025-11-07T21:45:43.541905+00:00,2025-11-07T21:45:43.569860+00:00,27.954,200,REAL
real2,19,2025-11-07T21:45:43.569894+00:00,2025-11-07T21:45:43.598299+00:00,28.404,200,REAL
real2,20,2025-11-07T21:45:43.598334+00:00,2025-11-07T21:45:43.625920+00:00,27.585,200,REAL
real2,21,2025-11-07T21:45:43.625955+00:00,2025-11-07T21:45:43.653907+00:00,27.951,200,REAL
real2,22,2025-11-07T21:45:43.653945+00:00,2025-11-07T21:45:43.681887+00:00,27.941,200,REAL
real2,23,2025-11-07T21:45:43.681919+00:00,2025-11-07T21:45:43.709697+00:00,27.777,200,REAL
real2,24,2025-11-07T21:45:43.709729+00:00,2025-11-07T21:45:43.737869+00:00,28.138,200,REAL
real2,25,2025-11-07T21:45:43.737901+00:00,2025-11-07T21:45:43.765682+00:00,27.779,200,REAL
real2,26,2025-11-07T21:45:43.765729+00:00,2025-11-07T21:45:43.793891+00:00,28.159,200,REAL
real2,27,2025-11-07T21:45:43.793928+00:00,2025-11-07T21:45:43.822100+00:00,28.170,200,REAL
real2,28,2025-11-07T21:45:43.822134+00:00,2025-11-07T21:45:43.849809+00:00,27.673,200,REAL
real2,29,2025-11-07T21:45:43.849844+00:00,2025-11-07T21:45:43.878103+00:00,28.258,200,REAL
real2,30,2025-11-07T21:45:43.878134+00:00,2025-11-07T21:45:43.907014+00:00,28.878,200,REAL
real2,31,2025-11-07T21:45:43.907047+00:00,2025-11-07T21:45:43.934488+00:00,27.440,200,REAL
real2,32,2025-11-07T21:45:43.934524+00:00,2025-11-07T21:45:43.962038+00:00,27.513,200,REAL
real2,33,2025-11-07T21:45:43.962074+00:00,2025-11-07T21:45:43.990251+00:00,28.176,200,REAL
real2,34,2025-11-07T21:45:43.990286+00:00,2025-11-07T21:45:44.018138+00:00,27.851,200,REAL
real2,35,2025-11-07T21:45:44.018172+00:00,2025-11-07T21:45:44.046342+00:00,28.168,200,REAL
real2,36,2025-11-07T21:45:44.046381+00:00,2025-11-07T21:45:44.074630+00:00,28.247,200,REAL
real2,37,2025-11-07T21:45:44.074664+00:00,2025-11-07T21:45:44.102778+00:00,28.113,200,REAL
real2,38,2025-11-07T21:45:44.102813+00:00,2025-11-07T21:45:44.130130+00:00,27.316,200,REAL
real2,39,2025-11-07T21:45:44.130161+00:00,2025-11-07T21:45:44.158556+00:00,28.394,200,REAL
real2,40,2025-11-07T21:45:44.158591+00:00,2025-11-07T21:45:44.186341+00:00,27.749,200,REAL
real2,41,2025-11-07T21:45:44.186374+00:00,2025-11-07T21:45:44.213991+00:00,27.616,200,REAL
real2,42,2025-11-07T21:45:44.214028+00:00,2025-11-07T21:45:44.242716+00:00,28.687,200,REAL
real2,43,2025-11-07T21:45:44.242753+00:00,2025-11-07T21:45:44.270184+00:00,27.430,200,REAL
real2,44,2025-11-07T21:45:44.270215+00:00,2025-11-07T21:45:44.298141+00:00,27.925,200,REAL
real2,45,2025-11-07T21:45:44.298173+00:00,2025-11-07T21:45:44.325856+00:00,27.681,200,REAL
real2,46,2025-11-07T21:45:44.325888+00:00,2025-11-07T21:45:44.353726+00:00,27.837,200,REAL
real2,47,2025-11-07T21:45:44.353758+00:00,2025-11-07T21:45:44.381929+00:00,28.169,200,REAL
real2,48,2025-11-07T21:45:44.381965+00:00,2025-11-07T21:45:44.409996+00:00,28.030,200,REAL
real2,49,2025-11-07T21:45:44.410029+00:00,2025-11-07T21:45:44.437902+00:00,27.872,200,REAL
real2,50,2025-11-07T21:45:44.437936+00:00,2025-11-07T21:45:44.465938+00:00,28.001,200,REAL
real2,51,2025-11-07T21:45:44.465971+00:00,2025-11-07T21:45:44.497291+00:00,31.319,200,REAL
real2,52,2025-11-07T21:45:44.497333+00:00,2025-11-07T21:45:44.526698+00:00,29.363,200,REAL
real2,53,2025-11-07T21:45:44.526737+00:00,2025-11-07T21:45:44.554952+00:00,28.214,200,REAL
real2,54,2025-11-07T21:45:44.554987+00:00,2025-11-07T21:45:44.585895+00:00,30.907,200,REAL
real2,55,2025-11-07T21:45:44.585927+00:00,2025-11-07T21:45:44.614192+00:00,28.264,200,REAL
real2,56,2025-11-07T21:45:44.614228+00:00,2025-11-07T21:45:44.642240+00:00,28.010,200,REAL
real2,57,2025-11-07T21:45:44.642275+00:00,2025-11-07T21:45:44.670197+00:00,27.920,200,REAL
