test_case,iteration,start_iso,end_iso,latency_ms,status_code,label
fake1,56,2025-11-07T21:45:35.697636+00:00,2025-11-07T21:45:35.725553+00:00,27.916,200,FAKE
fake1,57,2025-11-07T21:45:35.725586+00:00,2025-11-07T21:45:35.773058+00:00,47.471,200,FAKE
fake1,58,2025-11-07T21:45:35.773091+00:00,2025-11-07T21:45:35.800866+00:00,27.773,200,FAKE
fake1,59,2025-11-07T21:45:35.800904+00:00,2025-11-07T21:45:35.829390+00:00,28.485,200,FAKE
fake1,60,2025-11-07T21:45:35.829425+00:00,2025-11-07T21:45:35.857326+00:00,27.900,200,FAKE
fake1,61,2025-11-07T21:45:35.857360+00:00,2025-11-07T21:45:35.886114+00:00,28.752,200,FAKE
fake1,62,2025-11-07T21:45:35.886148+00:00,2025-11-07T21:45:35.913603+00:00,27.453,200,FAKE
fake1,63,2025-11-07T21:45:35.913659+00:00,2025-11-07T21:45:35.956320+00:00,42.658,200,FAKE
fake1,64,2025-11-07T21:45:35.956364+00:00,2025-11-07T21:45:35.988892+00:00,32.527,200,FAKE
fake1,65,2025-11-07T21:45:35.988925+00:00,2025-11-07T21:45:36.017239+00:00,28.312,200,FAKE
fake1,66,2025-11-07T21:45:36.017276+00:00,2025-11-07T21:45:36.044926+00:00,27.649,200,FAKE
fake1,67,2025-11-07T21:45:36.044959+00:00,2025-11-07T21:45:36.072958+00:00,27.998,200,FAKE
fake1,68,2025-11-07T21:45:36.072991+00:00,2025-11-07T21:45:36.100872+00:00,27.880,200,FAKE
fake1,69,2025-11-07T21:45:36.100904+00:00,2025-11-07T21:45:36.128850+00:00,27.945,200,FAKE
fake1,70,2025-11-07T21:45:36.128894+00:00,2025-11-07T21:45:36.157287+00:00,28.392,200,FAKE
fake1,71,2025-11-07T21:45:36.157324+00:00,2025-11-07T21:45:36.184930+00:00,27.605,200,FAKE
fake1,72,2025-11-07T21:45:36.184967+00:00,2025-11-07T21:45:36.213537+00:00,28.568,200,FAKE
fake1,73,2025-11-07T21:45:36.213577+00:00,2025-11-07T21:45:36.241527+00:00,27.949,200,FAKE
fake1,74,2025-11-07T21:45:36.241561+00:00,2025-11-07T21:45:36.268817+00:00,27.255,200,FAKE
fake1,75,2025-11-07T21:45:36.268849+00:00,2025-11-07T21:45:36.297139+00:00,28.288,200,FAKE
fake1,76,2025-11-07T21:45:36.297173+00:00,2025-11-07T21:45:36.324883+00:00,27.709,200,FAKE
fake1,77,2025-11-07T21:45:36.324917+00:00,2025-11-07T21:45:36.365945+00:00,41.027,200,FAKE
fake1,78,2025-11-07T21:45:36.365981+00:00,2025-11-07T21:45:36.397256+00:00,31.274,200,FAKE
